GUID;IDRESEAU;CODE_LIGNE;LIB_LIGNE;IDGAIA;RG_TRONCON;LIBELLE;LIB_GARE;PK;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
E56E9336666711E3A7FF01F464E0362D;109193;396000;Ligne de Plaisir-Grignon à Épône-Mézières;e56e9336-6667-11e3-a7ff-01f464e0362d;1;;Maule;044+462;616230.6960000023;6868315.606400002;1.857122820139317;48.90938062116161;48.90938062116161, 1.857122820139317;48.90938062113981, 1.8571228201393162;"{""coordinates"": [1.857122820139316, 48.90938062113981], ""type"": ""Point""}"
FF7498A891B611E6ACFF010C64E0362D;172009;930000;Ligne de Marseille-St-Charles à Vintimille (frontière);ff7498a8-91b6-11e6-acff-010c64e0362d;1;;Monaco-Monte-Carlo;240+261;1055921.1362999976;6303240.115200002;7.419617916450598;43.7385166011431;43.7385166011431, 7.419617916450598;43.73851660112019, 7.4196179164506;"{""coordinates"": [7.4196179164506, 43.73851660112019], ""type"": ""Point""}"
E56D0F26666711E3A7FF01F464E0362D;109247;515000;Ligne de Tours à St-Nazaire;e56d0f26-6667-11e3-a7ff-01f464e0362d;1;;Montoir-de-Bretagne;488+417;310394.42849999666;6703895.6701;-2.161601267156341;47.32074062561389;47.32074062561389, -2.161601267156341;47.32074062560102, -2.161601267156345;"{""coordinates"": [-2.161601267156345, 47.32074062560102], ""type"": ""Point""}"
E6F45890666711E3A7FF01F464E0362D;109128;110000;Ligne de Strasbourg-Ville à St-Dié;e6f45890-6667-11e3-a7ff-01f464e0362d;1;Voie 1;Lingolsheim;005+190;1045038.0807000026;6839026.068999998;7.678546612903215;48.55943491324981;48.55943491324981, 7.678546612903215;48.559434913226234, 7.678546612903218;"{""coordinates"": [7.678546612903218, 48.559434913226234], ""type"": ""Point""}"
E9920692666711E3A7FF01F464E0362D;127968;500000;Ligne de Chartres à Bordeaux-St-Jean;e9920692-6667-11e3-a7ff-01f464e0362d;1;;Beauvoir-sur-Niort;434+187;432478.2525999993;6569974.2907;-0.468919246970609;46.17670490187001;46.17670490187001, -0.4689192469706091;46.176704901853775, -0.4689192469706119;"{""coordinates"": [-0.468919246970612, 46.176704901853775], ""type"": ""Point""}"
E5792D52666711E3A7FF01F464E0362D;125218;958000;Ligne de Bondy à Aulnay-sous-Bois;e5792d52-6667-11e3-a7ff-01f464e0362d;1;;Allée-de-la-Tour-Rendez-Vous;002+288;663809.1596999988;6866447.4153;2.506374234948739;48.8970147835664;48.8970147835664, 2.5063742349487392;48.897014783544556, 2.506374234948739;"{""coordinates"": [2.506374234948739, 48.897014783544556], ""type"": ""Point""}"
E8E8DF20666711E3A7FF01F464E0362D;127970;650000;Ligne de Toulouse à Bayonne;e8e8df20-6667-11e3-a7ff-01f464e0362d;1;;Pau;215+788;426402.7393999994;6249448.054900002;-0.370315510897504;43.291644182349124;43.291644182349124, -0.37031551089750425;43.291644182325136, -0.37031551089750625;"{""coordinates"": [-0.370315510897506, 43.291644182325136], ""type"": ""Point""}"
E59C3B4C666711E3A7FF01F464E0362D;127008;420000;Ligne de Paris-Montparnasse à Brest;e59c3b4c-6667-11e3-a7ff-01f464e0362d;1;;St-Piat;072+846;595944.4466999993;6827891.234999999;1.590253291442402;48.542892627194874;48.542892627194874, 1.5902532914424021;48.54289262717119, 1.5902532914424008;"{""coordinates"": [1.590253291442401, 48.54289262717119], ""type"": ""Point""}"
E9970562666711E3A7FF01F464E0362D;109033;516000;Ligne de St-Nazaire au Croisic;e9970562-6667-11e3-a7ff-01f464e0362d;1;;Le Pouliguen;513+719;289632.12139999866;6701047.106600001;-2.433227448786401;47.28262437643912;47.28262437643912, -2.433227448786401;47.28262437642613, -2.433227448786406;"{""coordinates"": [-2.433227448786406, 47.28262437642613], ""type"": ""Point""}"
D90CAD9C6CEC11E980FF01686FB51C27;10060000;725000;Ligne de Sévérac-le-Château à Rodez;d90cad9c-6cec-11e9-80ff-01686fb51c27;1;RODEZ;Rodez;624+253;666574.432599999;6362711.982299998;2.580584400309513;44.36264228273386;44.36264228273386, 2.5805844003095126;44.36264228271256, 2.5805844003095126;"{""coordinates"": [2.580584400309513, 44.36264228271256], ""type"": ""Point""}"
